Income,Liab_ratio,Total_assete,EPS,Networth,Return_Eq,Revenue,Turnover,Stock,Reture_A,Top_100
715152,53.98,12175162.0,3.24,6604117,5.93,4980018,0.71,2272283.0,3.14,0
353094,53.79,5473347.0,3.2,2581337,14.06,3406532,1.25,912745.0,6.51,0
16364,20.43,1242489.0,0.22,972295,1.69,1055758,1.61,751219.0,1.35,0
2014576,5.91,4635081.0,23.16,3829882,56.4,4056858,0.73,852812.0,46.27,0
21553709,25.66,531820428.0,3.34,395452529,5.81,253294668,1.03,58611863.0,4.23,1
-1312802,7.78,6532866.0,-4.88,5794990,-21.2,1008157,0.29,2689547.0,-19.12,0
287319,34.02,10354080.0,3.51,6565723,4.49,6166478,1.28,838400.0,2.89,0
119613,32.73,5298401.0,1.59,3585661,3.36,2120901,0.84,741389.0,2.25,0
-389742,4.34,5565765.0,-2.55,5421970,-7.11,656406,0.0,1529229.0,-6.89,0
310881,42.95,2121080.0,6.29,1216621,26.45,2664416,2.45,494000.0,14.83,0
196227,,1975262.0,3.15,1458936,,1531351,,678453.0,,0
12980539,52.9,616955270.0,1.62,269424640,4.86,206769281,0.78,53528751.0,2.12,0
62551,16.9,1387560.0,0.95,1138609,5.55,416256,0.49,630000.0,4.56,0
-162038,56.4,2737080.0,-1.23,1040486,-15.4,1558963,2.1,1321124.0,-5.98,0
58588,32.28,4416425.0,0.27,3119690,1.89,702471,0.31,2200000.0,1.32,0
-343732,45.3,7210490.0,-1.85,3617737,-8.11,20370,0.06,1853422.0,-4.19,0
-353043,28.48,3147085.0,-1.86,2558563,-10.44,1035869,0.57,1899419.0,-8.5,0
-228235,74.13,2232986.0,-4.2,407391,-53.42,100142,0.16,568343.0,-10.24,0
364492,32.35,13579128.0,1.22,9087368,4.18,2149213,0.27,3000413.0,2.77,0
354023,8.56,3335725.0,2.56,3003190,13.48,202723,0.33,1384000.0,12.2,0
15844,80.6,4804207.0,0.0,796172,1.67,1154819,0.35,750000.0,0.32,0
2095306,20.48,79462058.0,1.25,61483588,3.65,28783492,0.85,16846646.0,2.78,0
-21435,15.73,1007903.0,-0.17,830205,-2.55,15053,0.03,1397801.0,-2.11,0
179648,71.9,11672964.0,1.88,2706849,6.61,1631881,0.28,956340.0,1.57,0
356977,40.95,11237184.0,1.76,6397640,5.64,605384,0.09,2033713.0,3.18,0
45919,11.92,1866081.0,0.45,560237,8.17,98432,0.0,1024115.0,3.29,0
-243523,0.69,2405928.0,-2.65,2230790,-10.76,113119,0.11,920000.0,-10.33,0
971261,44.69,46874462.0,0.57,25277681,3.9,17628221,0.9,16568159.0,2.09,0
-292272,56.8,2388768.0,-2.46,964789,-29.53,1509851,0.87,1008000.0,-11.72,0
76808,57.5,12921260.0,0.25,5514196,1.46,2231333,0.1,3662113.0,0.6,0
-58737,84.63,5690226.0,-0.29,788945,-6.02,569401,0.23,1353430.0,-0.84,0
-424828,37.33,17398746.0,-0.38,11476477,-3.75,8373609,1.13,9573029.0,-2.5,0
-57906,17.41,1970847.0,-0.44,1592896,-3.63,917470,1.18,1306660.0,-2.94,0
-7438,63.4,4085885.0,-0.05,1538654,-0.49,490557,0.22,1377095.0,-0.18,0
-414333,44.17,17844807.0,-0.48,10429215,-4.05,13559461,1.4,9144872.0,-2.29,0
-127030,88.94,6364291.0,-1.46,1084525,-12.31,1929151,0.65,878125.0,-2.06,0
-423066,22.96,9045576.0,-2.14,7269509,-5.86,7019373,1.6,1980000.0,-4.68,0
97497,7.6,2749971.0,0.74,2514111,3.95,1271905,1.27,1326414.0,3.66,0
15301,2.93,1355776.0,0.15,1293259,1.18,219411,0.03,1006151.0,1.15,0
-38295,25.45,1992198.0,-0.31,1527087,-2.56,1204928,1.65,1298338.0,-2.01,0
-40115,25.15,8926635.0,-0.07,6525869,-0.62,7675607,2.07,5500014.0,-0.45,0
68064,76.13,6711723.0,0.73,1288189,5.5,716457,0.32,937200.0,1.01,0
556686,59.33,17780814.0,2.89,7763198,8.19,2707215,0.45,3016476.0,3.67,0
-183707,49.64,5993026.0,-0.58,2931160,-6.42,1783734,0.91,3586289.0,-3.04,0
-936989,64.19,13565096.0,-1.94,3806320,-23.03,7343877,1.12,5098341.0,-6.89,0
61102,9.78,2634240.0,0.33,2247837,2.73,441609,0.39,1732684.0,2.35,0
-206633,66.63,17847430.0,-0.54,5454783,-3.75,8594659,1.0,3845657.0,-1.17,0
-25072,16.62,1917878.0,-0.24,1711413,-1.46,425282,0.51,1036073.0,-1.3,0
40489,54.67,3420333.0,0.38,1579597,2.59,2635433,1.68,1111573.0,1.2,0
164775,63.22,8112920.0,0.72,3332000,5.08,8598587,1.75,2336247.0,1.97,0
45183,54.3,2867261.0,0.26,1257998,3.56,961757,0.7,1604053.0,1.62,0
35414,16.35,1173413.0,0.41,966140,3.71,630757,1.23,857670.0,3.12,0
396093,48.75,1595001.0,2.63,1043367,39.45,1085366,1.28,1504145.0,22.49,0
-425124,68.36,1794920.0,-8.66,260628,-196.35,329104,0.5,860528.0,-29.05,0
-355198,34.55,5038874.0,-2.45,3279999,-10.45,5970540,2.36,1471535.0,-6.7,0
100880,47.54,3862094.0,0.83,1995694,5.12,2858477,1.63,1298970.0,2.63,0
3910,67.14,435455.0,0.24,350092,1.08,168113,1.59,560168.0,0.9,0
4254534,22.28,26446425.0,15.51,19167984,23.13,28175401,2.13,2743671.0,16.67,0
2078913,37.66,18635811.0,9.35,10164164,21.09,24924170,3.26,2198566.0,11.72,0
1596946,39.46,42057817.0,2.93,25700345,6.27,25684003,1.11,5209722.0,3.85,0
3811648,37.73,105679071.0,1.81,67625232,5.65,45823430,0.85,19676929.0,3.6,0
-370361,67.69,2289883.0,-2.19,902840,-40.13,855851,0.74,1631618.0,-16.09,0
1345347,47.27,23916553.0,3.2,12042300,11.33,15318751,1.09,4108200.0,5.75,0
