,公司代號,公司名稱,營業收入,營收成長率,本期淨利（淨損）,淨值,股東權益報酬率,股本,資產總額,資產報酬率,總資產週轉率,負債比率,基本每股盈餘（元）,Top_100
0,N_name,Name,Revenue,SV,Income,Networth,Return_Eq,Stock,Total_assete,Reture_A,Turnover,Liab_ratio,EPS,Top_100
286,2328,廣宇,20547713,-19.63,790495,12788294,6.29,5183462,20679624,3.88,2.08,42,1.28,0
287,2329,華泰,13851909,-20.92,-266123,7602768,-3.99,7372225,14483819,-1.87,1.91,61.89,-0.48,0
288,2330,台積電,1339254811,25.17,518158082,1850621999,28.48,259303805,2760711405,19.2,0.7,28.38,19.97,1
289,2331,精英,25995735,-9.1,65950,11086684,0.59,5574030,23749910,0.28,2.08,52.82,0.11,0
290,2332,友訊,15179443,-10.71,1310560,9740355,14.18,6519961,15950230,8.51,1.84,43.19,1.9,0
291,2337,旺宏,39800947,13.73,5325612,36194392,15.03,18561864,65892218,8.29,0.97,46.43,2.9,0
292,2338,光罩,4666756,34.54,486307,3416690,15.28,2527136,9069965,6.01,1.07,45.49,3.34,0
293,2340,光磊,5590046,3.18,575129,7693326,7.7,3786228,10641427,5.4,0.93,29.48,1.52,0
294,2342,茂矽,1845652,35.95,219533,2177973,10.46,1561651,2962981,7.58,0.83,28.82,1.42,0
295,2344,華邦電,60683171,24.42,1519043,70592687,2.27,39800002,126043240,1.23,0.83,39.07,0.33,0
296,2345,智邦,54462872,-1.7,5048640,14483073,36.72,5594564,31122969,16.88,3.45,56.63,9.07,1
297,2347,聯強,334200976,-1.66,8538386,56850168,15.66,16679470,159675713,5.54,3.97,64.83,4.89,0
298,2348,海悅,3747452,119.21,1431116,3358857,47.09,967836,9208138,17.14,0.59,62.71,15.1,0
299,2349,錸德,6578209,-15.51,-801727,10287946,-7.65,6936797,19551669,-4.03,0.62,46.7,-1.29,0
300,2351,順德,8450611,-4.47,401381,6011354,6.77,1821403,10575718,3.85,1.48,42.56,1.92,0
301,2352,佳世達,191701702,12.94,6366561,58963220,10.79,19667820,170811949,3.83,2.19,64.69,2.54,1
302,2353,宏碁,277112477,18.27,6145610,61941964,10.17,30478538,183908672,3.46,2.55,62.08,2.01,1
303,2354,鴻準,104789599,4.48,4686123,110268755,4.45,14144852,169109720,2.8,1,34.01,3.34,1
304,2355,敬鵬,15313285,-14.31,45702,15306104,0.3,3974954,22477318,0.21,1.36,31.89,0.12,0
305,2356,英業達,508294198,1.46,6572978,57890743,11.34,35874751,214161437,2.95,4.37,70.5,2.1,1
306,2357,華碩,412780439,17.49,28386878,214641551,12.59,7427603,396514716,6.57,1.76,47.93,35.76,1
307,2358,廷鑫,1920858,-5.2,10429,1214920,0.85,946162,3145443,0.33,1.13,58.44,0.11,0
308,2359,所羅門,3527149,-5.03,30390,4869154,0.62,1714711,6482437,0.47,1.06,20.66,0.12,0
309,2360,致茂,15532543,11.67,2380957,16388693,15.02,4212945,28128883,8.65,0.92,41.87,5.56,0
310,2362,藍天,20238946,-7.67,666944,39879138,1.69,6697630,94266222,0.69,0.38,60.36,1.12,0
311,2363,矽統,160171,-28.2,-300090,17507575,-2.06,6309675,17594109,-2.04,0.05,1.07,-0.47,0
312,2364,倫飛,863359,4.18,15432,256428,6.12,1959324,1168651,1.32,1.19,77.88,0.11,0
313,2365,昆盈,1653269,2.98,146905,3002175,4.85,2245285,3697542,3.91,0.67,14.71,0.64,0
314,2367,燿華,14386972,-35.82,-1435460,9671800,-14.62,6194072,23834297,-6.08,1.58,54.68,-2.32,0
315,2368,金像電,23398323,22.99,2066612,9265636,22.79,5464879,21649496,9.33,1.57,65.73,3.82,0
316,2369,菱生,5457586,15.64,-163140,5133515,-3.16,3801023,7645260,-2.12,1,35.61,-0.44,0
317,2371,大同,31641355,-10.71,-4988030,23841188,-20.13,23395367,110555435,-4.55,0.5,75.92,-0.46,0
318,2373,震旦行,12950974,-4.81,1558735,8924147,18.26,2362025,18062909,8.86,1.4,51.06,6.4,0
319,2374,佳能,3442017,-47.78,-444902,5896458,-7.5,2823628,9131183,-4.82,1.15,33.42,-1.63,0
