Company_Code,Company_Name,Revenue,Revenue_Growth_Rate,Net_Income_Loss,Net_Worth,Return_on_Equity,Stock,Total_Assets,Return_on_Assets,Asset_Turnover_Ratio,Debt_Ratio,EPS,Top_100
1558,伸興,6965819.0,17.35,845641.0,5054478.0,17.06,605356.0,7981683.0,10.74,1.63,25.43,13.76,0.00 
1560,中砂,5156550.0,5.72,539476.0,4735991.0,11.58,1410775.0,9452848.0,5.93,1.11,41.89,3.63,0.00 
1568,倉佑,1756718.0,13.66,10300.0,1479953.0,0.7,1030865.0,3146395.0,0.33,1.06,53.46,0.1,0.00 
1582,信錦,9663341.0,12.49,974682.0,6241835.0,16.15,1237242.0,11770911.0,8.81,1.63,42.95,7.81,0.00 
1583,程泰,5205033.0,15.02,685775.0,6465981.0,10.73,1104004.0,12308522.0,5.52,0.83,53.84,4.39,0.00 
1587,吉茂,1725729.0,13.8,173670.0,1292135.0,13.66,653566.0,2673908.0,6.55,1.05,52.86,2.64,0.00 
1589,永冠-KY,8184273.0,3.6,516530.0,8763942.0,6.16,1106175.0,16394386.0,3.28,0.99,42.15,4.81,0.00 
1590,亞德客-KY,19103001.0,20.17,4844203.0,22491128.0,22.59,1890250.0,41430981.0,11.97,0.7,54.47,25.63,0.00 
1592,英瑞-KY,4677501.0,5.66,1550068.0,909252.0,128.35,1109783.0,4750887.0,27.92,1.14,67.96,13.57,0.00 
1597,直得,1381885.0,2197.9027262931036,203095.0,2113058.0,13.349612068965518,811876.0,3509341.0,6.0490625,1.251293103448276,46.20329741379311,2.51,0.00 
1598,岱宇,13123756.0,124.35,1318056.0,4869862.0,29.84,1326523.0,13251988.0,10.8,1.4,69.24,11.69,0.00 
1603,華電,2244267.0,17.32,326569.0,5424937.0,6.06,1916880.0,8341380.0,3.82,0.58,36.58,2.05,0.00 
1604,聲寶,7670020.0,7.84,1835995.0,8094071.0,23.11,3872000.0,12614809.0,14.65,1.02,45.28,4.86,0.00 
1605,華新,112546603.0,16.53,7005801.0,87280830.0,8.4,32260002.0,151564006.0,4.78,1.75,43.1,2.04,1.00 
1608,華榮,7440063.0,5.01,371697.0,7923083.0,4.85,6327735.0,12343475.0,3.08,1.16,35.71,0.76,0.00 
1609,大亞,18300805.0,0.35,1033720.0,9130044.0,11.6,5950680.0,25204203.0,4.24,1.53,59.65,1.45,0.00 
1611,中電,2074046.0,12.17,78618.0,4208206.0,1.88,3227358.0,5982799.0,1.3,0.64,22.59,0.23,0.00 
1612,宏泰,4567162.0,30.33,517169.0,5296315.0,10.05,3160801.0,6142370.0,8.67,1.05,20.28,1.64,0.00 
1614,三洋電,5488349.0,5.56,355605.0,5357483.0,6.67,2691134.0,6567985.0,5.36,1.46,17.44,1.36,0.00 
1615,大山,3165977.0,0.59,328750.0,2029888.0,16.72,1230480.0,3417234.0,9.8,1.96,35.35,2.67,0.00 
1616,億泰,2682733.0,14.76,1703.0,1506404.0,0.11,1941485.0,2776143.0,0.06,1.69,46.95,0.01,0.00 
1617,榮星,2984283.0,2.6,146273.0,1797135.0,8.24,1442332.0,3041241.0,4.94,1.83,38.17,1.02,0.00 
1618,合機,2822947.0,2.36,241980.0,4615594.0,5.48,2408647.0,5036954.0,4.94,1.0,11.27,1.0,0.00 
1626,艾美特-KY,9207346.0,9.22,156239.0,3138916.0,5.07,1395876.0,9253342.0,1.68,2.17,66.19,1.12,0.00 
1701,中化,8181056.0,2.37,559500.0,6626859.0,8.48,2980811.0,12356914.0,4.57,1.21,48.7,1.88,0.00 
1702,南僑,17621763.0,4.09,995601.0,6955389.0,14.96,2941330.0,25340484.0,3.99,1.34,73.09,3.84,0.00 
1707,葡萄王,9168195.0,0.77,1895095.0,7978454.0,24.75,1362864.0,13104121.0,15.1,1.44,34.23,9.34,0.00 
1708,東鹼,4034992.0,7.05,174129.0,5796077.0,3.01,2284419.0,11878285.0,1.45,0.6,52.83,0.76,0.00 
1709,和益,8481829.0,3.66,539660.0,7484947.0,7.28,4770163.0,11120153.0,4.88,1.35,35.88,1.16,0.00 
1710,東聯,18763159.0,16.02,1471647.0,14911806.0,9.67,8857031.0,34103627.0,4.17,1.12,54.63,1.22,0.00 
1711,永光,7769066.0,16.75,205022.0,8388383.0,2.48,5477522.0,13226389.0,1.56,1.18,40.26,0.39,0.00 
1712,興農,17484401.0,2.36,721519.0,7107429.0,10.11,4204926.0,14955981.0,4.84,1.99,53.64,1.7,0.00 
1713,國化,475644.0,19.82,91433.0,2339296.0,3.96,1509517.0,2484080.0,3.72,0.42,6.27,0.61,0.00 
1714,和桐,25849191.0,4.84,2399546.0,16343964.0,14.76,10168248.0,24281825.0,9.94,1.99,41.89,1.68,0.00 
1717,長興,38370366.0,4.94,2493217.0,23238302.0,11.08,12402795.0,56188625.0,4.55,1.3,59.25,2.05,0.00 
1720,生達,4305400.0,9.52,625560.0,4905835.0,12.99,1786961.0,7049447.0,9.01,0.99,32.93,2.93,0.00 
1721,三晃,2752601.0,15.15,524306.0,2477377.0,19.67,1889952.0,4799421.0,10.75,1.36,46.36,2.43,0.00 
1722,台肥,10169742.0,21.41,2452881.0,51308711.0,4.79,9800000.0,76346127.0,3.22,0.3,32.95,2.5,0.00 
1723,中碳,5363774.0,28.89,708027.0,6810426.0,10.67,2369044.0,11642873.0,6.13,1.11,39.14,3.09,0.00 
1724,台硝,1746339.0,8.14,25477.0,1946526.0,1.31,1278139.0,3140270.0,0.8,1.19,28.02,0.2,0.00 
1725,元禎,7072520.0,17.63,249050.0,3430670.0,7.52,1818300.0,5342572.0,4.73,2.75,36.12,1.37,0.00 
1726,永記,7987996.0,0.61,830516.0,8763190.0,9.64,1620000.0,10286126.0,8.3,1.41,13.97,5.13,0.00 
1727,中華化,1772950.0,21.78,153895.0,1268603.0,1.32,1082500.0,2298098.0,0.72,1.58,41.61,1.26,0.00 
1730,花仙子,3058759.0,9.81,383850.0,1868498.0,20.83,632339.0,2595403.0,15.03,2.33,33.02,5.51,0.00 
1731,美吾華,1065325.0,3.23,171002.0,1876050.0,9.21,1329152.0,2476266.0,6.96,0.72,35.75,1.29,0.00 
1732,毛寶,620713.0,4.52,38595.0,490521.0,7.97,424439.0,650622.0,6.06,1.75,23.78,0.91,0.00 
1733,五鼎,2005337.0,8.8,94629.0,1646167.0,5.8,999502.0,2651442.0,3.58,1.37,40.42,0.95,0.00 
1734,杏輝,2388452.0,0.17,172559.0,3143823.0,5.51,1677221.0,6126915.0,2.81,0.69,45.87,0.17,0.00 
1735,日勝化,2363415.0,25.55,74010.0,1484544.0,5.1,993880.0,3055063.0,2.44,1.91,49.53,0.74,0.00 
1736,喬山,28366756.0,11.44,747354.0,10281725.0,7.66,3036166.0,31187089.0,2.44,1.59,66.08,2.24,0.00 
1737,臺鹽,3130347.0,8.97,374589.0,6364228.0,5.95,2000000.0,7797719.0,4.89,0.68,19.06,1.83,0.00 
1760,寶齡富錦,1568637.0,0.34,27901.0,1239967.0,2.28,767391.0,3073954.0,1.12,1.46,28.91,0.36,0.00 
1762,中化生,1543589.0,33.45,532063.0,2498663.0,21.7,775600.0,3147140.0,17.35,0.6,41.4,6.86,0.00 
1773,勝一,7778275.0,3.6,1174007.0,5764974.0,21.02,1800000.0,8237310.0,14.82,1.87,29.61,6.52,0.00 
1776,展宇,1380972.0,14.46,56019.0,1098867.0,5.17,703470.0,1892973.0,3.0,1.53,40.81,0.65,0.00 
1783,和康生,457691.0,1.21,63311.0,860227.0,7.45,694650.0,956470.0,6.71,0.68,28.19,0.91,0.00 
1786,科妍,466881.0,6.62,128005.0,1404181.0,9.21,610050.0,1890726.0,6.81,0.41,26.91,2.1,0.00 
1789,神隆,3082928.0,6.57,282067.0,10529403.0,2.68,7907392.0,11846763.0,2.37,0.42,12.12,0.36,0.00 
1795,美時,10728583.0,15.42,1029651.0,8745414.0,12.11,2453540.0,19753418.0,5.37,0.85,56.78,4.22,0.00 
1802,台玻,41907654.0,0.33,2460548.0,46800197.0,5.81,29080608.0,89929777.0,2.97,0.82,50.34,0.85,0.00 
1805,寶徠,219762.0,72.81,61775.0,604837.0,10.07,1002654.0,1377771.0,4.57,0.16,54.99,0.62,0.00 
1806,冠軍,3609001.0,23.98,402867.0,5516902.0,7.35,4337821.0,9894776.0,4.09,0.82,40.15,0.93,0.00 
